"Idõszak";"Terület";"Halálos közúti közlekedési baleset (eset)";"Súlyos sérüléses közúti közlekedési baleset (eset)";"Könnyû sérüléses közúti közlekedési baleset (eset)";"Összes személyi sérüléssel járó közúti közlekedési baleset (eset)";"Lakott területen történt összes közúti közlekedési baleset (eset)";"Lakott területen kívül történt összes közúti közlekedési baleset (eset)";"Az ittasan okozott balesetek száma (eset)";"Jármûvek okozta összes baleset száma (eset)";"Motorkerékpár és segédmotoros kerékpár által okozott balesetek száma (eset)";"Személygépkocsi által okozott balesetek száma (eset)";"Tehergépkocsi által okozott balesetek száma (eset)";"Kerékpár által okozott balesetek száma (eset)";"Gyalogos okozta balesetek száma (eset)";"Autóbusz által okozott balesetek száma (eset)";"A jármûvezetõk által ittasan okozott balesetek száma (eset)";"Közúti közlekedési baleset során meghalt személy (fõ)";"Közúti közlekedési baleset során súlyosan sérült személy (fõ)";"Közúti közlekedési baleset során könnyen sérült személy (fõ)";"Közúti közlekedési baleset során meghalt, megsérült személy összesen (fõ)";"Közúti közlekedési baleset során meghalt  6 év alatti személy (fõ)";"Közúti közlekedési baleset során meghalt  6 - 14 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 15 - 17 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 18 - 20 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 21 - 40 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 41 - 64 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 65 éves és idõsebb, és ismeretlen korú személy (fõ)";"Borvidékek, 2019";"Agglomeráción belüli települések besorolása, 2003";"Statisztikai nagyrégió";"Agglomeráció típusa, 2003";"Járások";"Agglomerációk, 2003";"Megyék - általános területi beosztás";"Települések jogállása - összevont verzió, 1994";"Kedvezményezett települések  kódjának nómenklatúrája";"Borrégiók, 2019";"Kedvezményezett járások kódjának nómenklatúrája";"Turisztikai régiók";"Települések";"Tervezési statisztikai régiók";"Világörökségi helyszín védõövezete";"Szabad vállalkozási zónák";"Az EU NUTS rendszere 2016";"Területfejlesztési szempontból kiemelt térségek";"Települések megyeszékhely jellege, 1991";"Járási székhely";"Települések lakónépesség-nagyságkategóriái";"Települések jogállása - bõvített verzió, 2005";"Nemzeti parkok";
"";"Tiszaföldvár";"1";"5";"13";"19";"13";"6";"1";"18";"2";"11";"2";"3";"1";" ";"1,0";"1";"5";"15";"21";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"165 - Kunszentmártoni járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"2 - Jelentõs munkanélküliséggel sújtott települések";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"1381 - Tiszaföldvár";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"06 - 10000 - 19999";"30 - Város";"09 - Körös-Maros Nemzeti Park";
"";"Tiszainoka";" ";" ";"1";"1";" ";"1";"1";"1";" ";"1";" ";" ";" ";" ";"1,0";" ";" ";"1";"1";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"165 - Kunszentmártoni járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"2044 - Tiszainoka";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"01 - 499";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszakürt";"1";" ";"1";"2";" ";"2";" ";"2";" ";"1";" ";" ";" ";" ";" ";"1";" ";"2";"3";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"165 - Kunszentmártoni járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"3038 - Tiszakürt";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszasas";" ";"1";"2";"3";"3";" ";"1";"3";"2";"1";" ";" ";" ";" ";"1,0";" ";"1";"2";"3";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"165 - Kunszentmártoni járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"2 - Jelentõs munkanélküliséggel sújtott települések";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"2149 - Tiszasas";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"08 - Kiskunsági Nemzeti Park";
"";"Mezõtúri járás";"2";"16";"28";"46";"25";"21";"4";"45";"3";"25";"5";"9";" ";"1,0";"4,0";"2";"18";"42";"62";" ";" ";" ";" ";" ";" ";" ";
"";"Kétpó";" ";" ";"1";"1";" ";"1";" ";"1";" ";"1";" ";" ";" ";" ";" ";" ";" ";"3";"3";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"166 - Mezõtúri járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"1981 - Kétpó";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Mesterszállás";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"166 - Mezõtúri járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"3023 - Mesterszállás";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"09 - Körös-Maros Nemzeti Park";
"";"Mezõhék";" ";" ";"3";"3";" ";"3";"1";"2";" ";"2";" ";" ";" ";" ";"1,0";" ";" ";"3";"3";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"166 - Mezõtúri járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"2628 - Mezõhék";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"01 - 499";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Mezõtúr";" ";"11";"18";"29";"19";"10";"2";"29";"2";"15";"3";"7";" ";" ";"2,0";" ";"11";"24";"35";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"166 - Mezõtúri járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"0426 - Mezõtúr";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"1 - Székhelytelepülés";"06 - 10000 - 19999";"30 - Város";"09 - Körös-Maros Nemzeti Park";
"";"Túrkeve";"2";"5";"6";"13";"6";"7";"1";"13";"1";"7";"2";"2";" ";"1,0";"1,0";"2";"7";"12";"21";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"166 - Mezõtúri járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"2822 - Túrkeve";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"05 - 5000 - 9999";"30 - Város";"09 - Körös-Maros Nemzeti Park";
"";"Szolnoki járás";"4";"65";"112";"181";"113";"68";"10";"169";"12";"117";"6";"24";"11";"2,0";"10,0";"6";"76";"147";"229";" ";" ";" ";" ";" ";" ";" ";
"";"Besenyszög";" ";"1";"2";"3";"1";"2";"2";"3";"1";"2";" ";" ";" ";" ";"2,0";" ";"1";"3";"4";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"1130 - Besenyszög";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Csataszög";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"167 - Szolnoki járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"3417 - Csataszög";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"01 - 499";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Hunyadfalva";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"167 - Szolnoki járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"3405 - Hunyadfalva";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"01 - 499";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Kõtelek";" ";"1";"1";"2";" ";"2";" ";"2";" ";"2";" ";" ";" ";" ";" ";" ";"2";"2";"4";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"167 - Szolnoki járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"04 - Tisza-tavi Régió";"1123 - Kõtelek";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Martfû";"1";"7";"5";"13";"7";"6";" ";"11";"1";"4";"1";"5";"2";" ";" ";"1";"7";"5";"13";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"167 - Szolnoki járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"0262 - Martfû";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"05 - 5000 - 9999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Nagykörû";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"167 - Szolnoki járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"04 - Tisza-tavi Régió";"1557 - Nagykörû";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Rákóczifalva";"1";"2";"3";"6";"3";"3";" ";"6";"2";"2";"1";" ";" ";" ";" ";"2";"2";"3";"7";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"1420 - Rákóczifalva";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"05 - 5000 - 9999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Rákócziújfalu";" ";" ";"2";"2";"2";" ";" ";"2";" ";"2";" ";" ";" ";" ";" ";" ";" ";"2";"2";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"1242 - Rákócziújfalu";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Szajol";" ";"2";"5";"7";"1";"6";"1";"7";" ";"4";" ";" ";" ";" ";"1,0";" ";"2";"7";"9";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"0587 - Szajol";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Szászberek";" ";"1";"1";"2";" ";"2";"1";"2";" ";"2";" ";" ";" ";" ";"1,0";" ";"2";"1";"3";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"0577 - Szászberek";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Szolnok";"2";"43";"76";"121";"90";"31";"1";"113";"5";"83";"4";"16";"8";"2,0";"1,0";"3";"50";"101";"154";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"1 - Központ";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"2 - Megyei jogú város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"2785 - Szolnok";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"1 - Megyeszékhely";"1 - Székhelytelepülés";"08 - 50000 - 99999";"20 - Megyei jogú város";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszajenõ";" ";" ";"1";"1";" ";"1";"1";"1";" ";" ";" ";" ";" ";" ";"1,0";" ";" ";"1";"1";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"2934 - Tiszajenõ";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszasüly";" ";"1";"1";"2";"1";"1";" ";"2";" ";"1";" ";"1";" ";" ";" ";" ";"1";"1";"2";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"167 - Szolnoki járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"04 - Tisza-tavi Régió";"1769 - Tiszasüly";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszavárkony";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"3186 - Tiszavárkony";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
